항공사명,출발시간,도착시간,가격
파라타항공,06:05,07:20,26700
진에어,06:05,07:20,31600
진에어,06:05,07:20,33600
아시아나항공,06:05,07:20,34700
파라타항공,06:05,07:20,37700
대한항공,06:05,07:20,51700
아시아나항공,06:05,07:20,56700
파라타항공,06:05,07:20,80700
진에어,06:05,07:20,81600
아시아나항공,06:05,07:20,100700
대한항공,06:05,07:20,105700
아시아나항공,06:05,07:20,137700
아시아나항공,06:10,07:25,31700
대한항공,06:10,07:25,36700
아시아나항공,06:10,07:25,56700
대한항공,06:10,07:25,82700
아시아나항공,06:10,07:25,100700
대한항공,06:10,07:25,128700
아시아나항공,06:10,07:25,137700
대한항공,06:10,07:25,157700
아시아나항공,06:15,07:30,34700
아시아나항공,06:15,07:30,56700
아시아나항공,06:15,07:30,100700
아시아나항공,06:15,07:30,137700
아시아나항공,06:20,07:35,34700
대한항공,06:20,07:35,36700
아시아나항공,06:20,07:35,56700
대한항공,06:20,07:35,82700
아시아나항공,06:20,07:35,100700
대한항공,06:20,07:35,128700
아시아나항공,06:20,07:35,137700
대한항공,06:20,07:35,157700
제주항공,06:25,07:40,27600
제주항공,06:25,07:40,81700
대한항공,06:40,07:55,39700
대한항공,06:40,07:55,82700
대한항공,06:40,07:55,128700
대한항공,06:40,07:55,157700
제주항공,06:45,08:00,30600
이스타항공,06:45,08:00,32300
아시아나항공,06:45,08:05,38700
아시아나항공,06:45,08:05,56700
이스타항공,06:45,08:00,81600
제주항공,06:45,08:00,81700
아시아나항공,06:45,08:05,100700
아시아나항공,06:45,08:05,137700
티웨이항공,06:50,08:05,33900
제주항공,06:50,08:05,36400
대한항공,06:50,08:05,39700
제주항공,06:50,08:05,81700
티웨이항공,06:50,08:05,82600
대한항공,06:50,08:05,82700
대한항공,06:50,08:05,128700
대한항공,06:50,08:05,157700
아시아나항공,07:00,08:15,38700
아시아나항공,07:00,08:15,56700
아시아나항공,07:00,08:15,100700
아시아나항공,07:00,08:15,137700
에어부산,07:10,08:30,41940
에어부산,07:10,08:30,83700
아시아나항공,07:10,08:30,94700
이스타항공,07:35,08:50,53100
대한항공,07:35,08:50,54700
이스타항공,07:35,08:50,81600
대한항공,07:35,08:50,82700
대한항공,07:35,08:50,128700
대한항공,07:35,08:50,157700
제주항공,07:45,09:00,48400
제주항공,07:45,09:00,81700
이스타항공,08:00,09:15,53100
이스타항공,08:00,09:15,81600
진에어,08:10,09:25,64600
진에어,08:10,09:25,81600
대한항공,08:30,09:45,67700
대한항공,08:30,09:45,128700
대한항공,08:30,09:45,157700
아시아나항공,08:40,09:55,65700
아시아나항공,08:40,09:55,100700
아시아나항공,08:40,09:55,137700
대한항공,08:50,10:05,72700
대한항공,08:50,10:05,128700
대한항공,08:50,10:05,157700
제주항공,09:00,10:15,51400
대한항공,09:00,10:15,67700
제주항공,09:00,10:15,81700
대한항공,09:00,10:15,128700
제주항공,09:05,10:20,51400
제주항공,09:05,10:20,81700
진에어,09:10,10:25,54600
대한항공,09:10,10:25,71700
진에어,09:10,10:25,81600
대한항공,09:20,10:35,67700
대한항공,09:20,10:35,128700
대한항공,09:20,10:35,157700
대한항공,09:35,10:50,67700
대한항공,09:35,10:50,128700
이스타항공,09:45,11:00,56100
아시아나항공,09:45,11:00,65700
이스타항공,09:45,11:00,81600
아시아나항공,09:45,11:00,100700
아시아나항공,09:45,11:00,137700
대한항공,10:05,11:20,97700
진에어,10:20,11:30,55600
대한항공,10:20,11:30,71700
진에어,10:20,11:30,81600
