순번,링크,제목,평점,평가수,가격
1,https://image.withstatic.com/295/32/102/6f52bd9340b54ae8bc413e18ec7259e0.png?width=792&height=480&format=webp,★당일특가★ 세인트존스 호텔,9.2,10290,159495
2,https://image.withstatic.com/194/357/461/ccf578228d59481187d11fff79e5af2f.jpg?width=792&height=480&format=webp,스카이베이호텔 경포,9.1,6929,163860
3,https://image.withstatic.com/371/242/92/141062dc7704452fae0c8e1685e4457c.jpg?width=792&height=480&format=webp,정동진 썬크루즈호텔,9.1,3219,176000
19,https://image.withstatic.com/313/180/34/4752a2a10c51421d850d1da74606ebca.jpg?width=792&height=480&format=webp,강릉 블리스 가족펜션,9.4,465,65500
20,https://image.withstatic.com/160/21/499/bde5132002584a45b03e54211ac74e6f.jpg?width=792&height=480&format=webp,강릉 경포디슬로펜션,9.9,177,80863
21,https://image.withstatic.com/property/2025/10/23/c6/c6ad711a675046978215d59587f1042c.jpeg?width=792&height=480&format=webp,경포대 에이제이 호텔,8.8,746,29500
22,https://image.withstatic.com/268/339/67/1f1a4ea8adc3458398e25907caf36b1c.jpg?width=792&height=480&format=webp,강릉 쏠하우스 펜션,9.5,197,91550
23,https://image.withstatic.com/321/413/293/3ee1535a1bfd4e1a859a880fadd178a7.jpg?width=792&height=480&format=webp,강릉 호텔 보름,9.7,307,40500
24,https://image.withstatic.com/452/225/236/d7219af461cc4959b7b79c9a7818f2c9.png?width=792&height=480&format=webp,강릉 파인아트라벨,9.1,2018,109000
25,https://image.withstatic.com/87/377/151/2d516a2c5ef2456aaab3f57341b311ac.jpg?width=792&height=480&format=webp,경포대 호텔 주노,9.4,1346,65500
26,https://image.withstatic.com/378/270/18/b93ea032c0984022afc11c7c1166eea2.jpg?width=792&height=480&format=webp,강릉 더뷰스파펜션,9.8,317,169000
27,https://image.withstatic.com/497/193/40/c4bd1e2513d646399fdb7e1f2dbd5a8e.jpg?width=792&height=480&format=webp,경포대 파라다이스,9.2,2926,30500
28,https://image.withstatic.com/101/323/354/1472fa5570d24383ae1dd2a5d0f67607.jpg?width=792&height=480&format=webp,강릉관광호텔,9.3,1211,102600
30,https://image.withstatic.com/461/453/244/89b1ee99ea4a4e2582d3e7522c002504.jpg?width=792&height=480&format=webp,강릉 까사드마르,9.9,354,169000
32,https://image.withstatic.com/property/2025/11/25/9f/9f21670abf4b411dbd54d9ff3dc73816.jpg?width=792&height=480&format=webp,하이오션 경포,9.3,1313,67284
33,https://image.withstatic.com/256/56/145/d3319f781289456db939066053c55bb5.jpg?width=792&height=480&format=webp,강릉 루이스 LOUIS 호텔,9.6,1507,30000
34,https://image.withstatic.com/28/358/485/502855dddce04dc6b8b665f0021e4dc8.jpg?width=792&height=480&format=webp,강릉 스테이휴,9.8,247,139000
